,,,,,,,,,
,Equity Support Vs Cumulative Disbursement,,,,,,,,
,,,,(Rs. in Crore),,,,,
,,Equity Support,,Cumulative,,,,,
,,Equity Share,Internal Sources,Disbursement,,,,,
,as on 31.03.2018,1348.01,3130.67,4478.68,,,,,
,as on 31.03.2019,1485.4,3664.49,5149.889999999999,,,,,
,as on 31.03.2020,1500,4331.4,5831.4,,,,,
,as on 31.03.2021,1500,4879.63,6379.63,,,,,
,as on 31.03.2022,1500,5451.64,6951.64,,,,,
,as on 31.03.2023,1500,6087.58,7587.58,,,,,
,as on 31.03.2024,1515,6787.040000000001,8302.04,, , , , 
,as on 31.03.2025,1515,7398.82,8913.82,, , , , 
,as on 31.03.2026,1515,8174.08,9689.08,,, ,,
,,,, , , , ,,
,as on 31.07.2026,1515,8251.41,9766.41, , ,,,
,,, , , , ,,,
,,,, ,, , ,,
,, ,, ,,,,,
,,,,,,,,,
,,,,,,,,,
,,,, ,, ,,,
,,,, ,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
