NSFDC : MEN/WOMEN AND RURAL/URBAN-WISE COVERAGE OF BENEFICIAIRIES AND DISBURSEMENT ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
FINANCIAL YEAR 2026-27 AS ON 31.07.2026,,,,,,,,,,,,,,
Sno.,Particular,Beneficiaries Covered (in Nos.),,,Amount Disbursed   (Rs. in Lakh),,,,Beneficiaries Covered (in Nos.),,,Amount Disbursed   (Rs. in Lakh),,
,,,,,,,,,,,,,,
,,Men,Women,Total,Men,Women,Total,,Rural,Urban,Total,Rural,Urban,Total
,,,,,,,,,,,,,,
1,Term Loan,560,773,1333,2247.26,2449.52,4696.780000000001,,638,695,1333,2178.1,2518.68,4696.78
2,Micro Credit Finance,0,0,0,0,0,0,,0,0,0,0,0,0
3,Mahila Samriddhi Yojana,0,0,0,0,0,0,,0,0,0,0,0,0
4,Educational Loan Scheme,11,4,15,118.24,56.04,174.28,,9,6,15,117.72,56.56,174.28
5,Laghu Vyavsay Yojana,0,0,0,0,0,0,,0,0,0,0,0,0
6,Aajivika Micro Credit Yojana,0,0,0,0,0,0,,0,0,0,0,0,0
7,Udyam Nidhi Yojana,138,115,253,592.56,496.52,1089.08,,0,253,253,0,1089.08,1089.08
8,Utkarsh Loan,0,0,0,0,0,0,,0,0,0,0,0,0
9,Suvidha Loan,0,0,0,0,0,0,,0,0,0,0,0,0
10,Micro Finance Scheme,223,1845,2068,267.31,1505.49,1772.8,,923,1145,2068,854.15,918.65,1772.8
,,,,,,,,,,,,,,
,Total,932,2737,3669,3225.37,4507.57,7732.94, ,1570,2099,3669,3149.97,4582.969999999999,7732.939999999999
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
FINANCIAL YEAR 2025-26 AS ON 31.03.2026,,,,,,,,,,,,,,
Sno.,Particular,Beneficiaries Covered (in Nos.),,,Amount Disbursed   (Rs. in Lakh),,,,Beneficiaries Covered (in Nos.),,,Amount Disbursed   (Rs. in Lakh),,
,,,,,,,,,,,,,,
,,Men,Women,Total,Men,Women,Total,,Rural,Urban,Total,Rural,Urban,Total
,,,,,,,,,,,,,,
1,Term Loan,10457,8369,18826,24216.77,14356.3,38573.07,,12512,6314,18826,23957.37,14615.7,38573.07
2,Micro Credit Finance,48,33,81,48,33,81,,41,40,81,41,40,81
3,Mahila Samriddhi Yojana,0,1447,1447,0,1312,1312,,737,710,1447,662.95,649.05,1312
4,Educational Loan Scheme,92,125,217,562.57,829.66,1392.23,,179,38,217,1105.96,286.27,1392.23
5,Laghu Vyavsay Yojana,274,185,459,632.6,427.4,1060,,230,229,459,531.34,528.66,1060
6,Aajivika Micro Credit Yojana,2,4621,4623,0.87,1999.15,2000.02,,4623,0,4623,2000.02,0,2000.02
7,Udyam Nidhi Yojana,874,13256,14130,2117.04,10485.81,12602.849999999999,,6395,7735,14130,4619.77,7983.08,12602.85
8,Utkarsh Loan,1,60,61,8.71,155.41,164.12,,31,30,61,86.42,77.7,164.12
9,Suvidha Loan,862,252,1114,5260.36,1390.39,6650.75,,1026,88,1114,6442.95,207.8,6650.75
10,Micro Finance Scheme,6588,11456,18044,5980.38,7709.72,13690.1,,12448,5596,18044,8738.91,4951.19,13690.099999999999
,,,,,,,,,,,,,,
,Total,19198,39804,59002,38827.299999999996,38698.84,77526.13999999998, ,38222,20780,59002,48186.69,29339.45,77526.14
,,,,,,,,,,,,,,
FINANCIAL YEAR 2024-25 AS ON 31.03.2025,,,,,,,,,,,,,,
Sno.,Particular,Beneficiaries Covered (in Nos.),,,Amount Disbursed   (Rs. in Lakh),,,,Beneficiaries Covered (in Nos.),,,Amount Disbursed   (Rs. in Lakh),,
,,,,,,,,,,,,,,
,,Men,Women,Total,Men,Women,Total,,Rural,Urban,Total,Rural,Urban,Total
,,,,,,,,,,,,,,
1,Term Loan,0,0,0,0,0,0,,0,0,0,0,0,0
2,Micro Credit Finance,3823,1818,5641,2913.63,1351.64,4265.27,,4518,1123,5641,3351.33,913.94,4265.27
3,Mahila Samriddhi Yojana,0,9770,9770,0,6324.39,6324.39,,5973,3797,9770,3972.01,2352.38,6324.39
4,Educational Loan Scheme,229,182,411,601.8,569,1170.8,,217,194,411,715.7,455.1,1170.8000000000002
5,Laghu Vyavsay Yojana,585,420,1005,1334.53,877.22,2211.75,,529,476,1005,1106.26,1105.49,2211.75
6,Aajivika Micro Credit Yojana,0,0,0,0,0,0,,0,0,0,0,0,0
7,Udyam Nidhi Yojana,0,5556,5556,0,5000,5000,,2778,2778,5556,2500,2500,5000
8,Utkarsh Loan,143,29,172,2360.27,408.38,2768.65,,78,94,172,1258.34,1510.31,2768.6499999999996
9,Suvidha Loan,10102,9093,19195,24372.12,15065.33,39437.45,,13325,5870,19195,28537.19,10900.26,39437.45
,,,,,,,,,,,,,,
,Total,14882,26868,41750,31582.35,29595.96,61178.31, ,27418,14332,41750,41440.83,19737.48,61178.31
,,,,,,,,,,,,,,
FINANCIAL YEAR 2023-24 AS ON 31.03.2024,,,,,,,,,,,,,,
Sno.,Particular,Beneficiaries Covered (in Nos.),,,Amount Disbursed   (Rs. in Lakh),,,,Beneficiaries Covered (in Nos.),,,Amount Disbursed   (Rs. in Lakh),,
,,,,,,,,,,,,,,
,,Men,Women,Total,Men,Women,Total,,Rural,Urban,Total,Rural,Urban,Total
,,,,,,,,,,,,,,
1,Term Loan,27,7,34,596.02,163.65,759.67,,31,3,34,747.52,12.15,759.67
2,Micro Credit Finance,1286,941,2227,868.78,603.11,1471.8899999999999,,1353,874,2227,878.83,593.06,1471.8899999999999
3,Mahila Samriddhi Yojana,0,23185,23185,0,3683.93,3683.93,,11732,11453,23185,1931.61,1752.32,3683.93
4,Educational Loan Scheme,64,64,128,543.39,398.36,941.75,,77,51,128,415.49,526.26,941.75
5,Laghu Vyavsay Yojana,10356,4364,14720,18334.99,7788.42,26123.410000000003,,9159,5561,14720,15381.47,10741.94,26123.41
6,VETLS Scheme,0,0,0,0,0,0,,0,0,0,0,0,0
7,Aajivika Micro Credit Yojana,5024,3349,8373,2050.87,1367.13,3418,,4187,4186,8373,1709.23,1708.77,3418
8,Green Business Scheme,0,0,0,0,0,0,,0,0,0,0,0,0
9,Stand-Up India Scheme,0,0,0,0,0,0,,0,0,0,0,0,0
10,Mahila Adhikarita Yojana,0,685,685,0,1875.75,1875.75,,342,343,685,936,939.75,1875.75
11,Udyam Nidhi Yojana,0,11482,11482,0,7000,7000,,5741,5741,11482,3500,3500,7000
12,Utkarsh Loan,3,2,5,48.23,24.6,72.83,,2,3,5,21.97,50.86,72.83
13,Suvidha Loan,11777,12756,24533,13112.19,12985.94,26098.13,,16404,8129,24533,17153.38,8944.75,26098.13
,,,,,,,,,,,,,,
,Total,28537,56835,85372,35554.47,35890.89,71445.36, ,49028,36344,85372,42675.5,28769.86,71445.36
,,,,,,,,,,,,,,
FINANCIAL YEAR 2022-23 AS ON 31.03.2023,,,,,,,,,,,,,,
Sno.,Particular,Beneficiaries Covered (in Nos.),,,Amount Disbursed   (Rs. in Lakh),,,,Beneficiaries Covered (in Nos.),,,Amount Disbursed   (Rs. in Lakh),,
,,,,,,,,,,,,,,
,,Men,Women,Total,Men,Women,Total,,Rural,Urban,Total,Rural,Urban,Total
,,,,,,,,,,,,,,
1,Term Loan,1728,1032,2760,5409.34,3158.02,8567.36,,1405,1355,2760,4442.92,4124.44,8567.36
2,Micro Credit Finance,4415,3771,8186,1951.96,1502.29,3454.25,,5002,3184,8186,1956.65,1497.6,3454.25
3,Mahila Samriddhi Yojana,0,34630,34630,0,5046.9,5046.9,,17313,17317,34630,2522.57,2524.33,5046.9
4,Mahila Kisan Yojana,0,0,0,0,0,0,,0,0,0,0,0,0
5,Shilpi Samriddhi Yojana,0,0,0,0,0,0,,0,0,0,0,0,0
6,Educational Loan Scheme,63,76,139,300.27,282.24,582.51,,100,39,139,333.57,248.94,582.51
7,Laghu Vyavsay Yojana,13930,10340,24270,22126.1,14962.52,37088.619999999995,,14627,9643,24270,20371.8,16716.82,37088.619999999995
8,VETLS Scheme,0,0,0,0,0,0,,0,0,0,0,0,0
9,Aajivika Micro Credit Yojana,4756,3284,8040,1429.79,1018.64,2448.43,,4210,3830,8040,1323.79,1124.64,2448.4300000000003
10,Green Business Scheme,152,68,220,581.7,320,901.7,,111,109,220,454,447.7,901.7
11,Stand-Up India Scheme,0,0,0,0,0,0,,0,0,0,0,0,0
12,Mahila Adhikarita Yojana,0,187,187,0,504.9,504.9,,94,93,187,253.8,251.1,504.9
13,Udyam Nidhi Yojana,0,5556,5556,0,5000,5000,,2778,2778,5556,2500,2500,5000
,Total,25044,58944,83988,31799.16,31795.510000000002,63594.67, ,45640,38348,83988,34159.1,29435.569999999996,63594.67
,,,,,,,,,,,,,,
FINANCIAL YEAR 2021-22 AS ON 31.03.2022,,,,,,,,,,,,,,
Sno.,Particular,Beneficiaries Covered (in Nos.),,,Amount Disbursed   (Rs. in Lakh),,,,Beneficiaries Covered (in Nos.),,,Amount Disbursed   (Rs. in Lakh),,
,,,,,,,,,,,,,,
,,Men,Women,Total,Men,Women,Total,,Rural,Urban,Total,Rural,Urban,Total
,,,,,,,,,,,,,,
1,Term Loan,1135,712,1847,4485.74,2513.68,6999.42,,913,934,1847,3298.78,3700.64,6999.42
2,Micro Credit Finance,1456,1178,2634,852.23,617.94,1470.17,,1387,1247,2634,765.79,704.38,1470.17
3,Mahila Samriddhi Yojana,0,34968,34968,0,6215.14,6215.14,,17485,17483,34968,3107.92,3107.22,6215.139999999999
4,Mahila Kisan Yojana,0,0,0,0,0,0,,0,0,0,0,0,0
5,Shilpi Samriddhi Yojana,0,0,0,0,0,0,,0,0,0,0,0,0
6,Educational Loan Scheme,95,75,170,281.35,238.32,519.6700000000001,,106,64,170,296.28,223.39,519.67
7,Laghu Vyavsay Yojana,20840,14574,35414,24641.81,16133.34,40775.15,,19890,15524,35414,22259.41,18515.74,40775.15
8,VETLS Scheme,0,0,0,0,0,0,,0,0,0,0,0,0
9,Aajivika Micro Credit Yojana,0,686,686,0,343.26,343.26,,686,0,686,343.26,0,343.26
10,Green Business Scheme,300,200,500,526.8,351.2,878,,250,250,500,439,439,878
11,Stand-Up India Scheme,0,0,0,0,0,0,,0,0,0,0,0,0
12,Udyam Nidhi Yojana,0,0,0,0,0,0,,0,0,0,0,0,0
,Total,23826,52393,76219,30787.93,26412.879999999997,57200.81, ,40717,35502,76219,30510.44,26690.370000000003,57200.81
,,,,,,,,,,,,,,
,,,,,, ,,,,,,,,
FINANCIAL YEAR 2020-2021  AS ON 31.03.2021,,,,,,,,,,,,,,
Sno.,Particular,Beneficiaries Covered (in Nos.),,,Amount Disbursed   (Rs. in Lakh),,,,Beneficiaries Covered (in Nos.),,,Amount Disbursed   (Rs. in Lakh),,
,,,,,,,,,,,,,,
,,Men,Women,Total,Men,Women,Total,,Rural,Urban,Total,Rural,Urban,Total
,,,,,,,,,,,,,,
1,Term Loan*,913,617,1530,3050.97,1927.99,4978.96,,880,650,1530,2715.2,2263.76,4978.96
2,Micro Credit Finance,2548,1697,4245,845.84,563.16,1409,,2125,2120,4245,705.39,703.61,1409
3,Mahila Samriddhi Yojana,0,54785,54785,0,6226,6226,,27382,27403,54785,3110.51,3115.49,6226
4,Shilpi Samriddhi Yojana,60,40,100,24,16,40,,50,50,100,20,20,40
5,Educational Loan Scheme,178,106,284,346.82,216.42,563.24,,238,46,284,438.01,125.23,563.24
