,,,,,,,,,,,,,,
,NSFDC : SCHEME-WISE / YEAR-WISE DISBURSEMENT STATUS OF 2024-25 TO 2026-27,,,,,,,,(Rs. in crore),,,,,
,FINANCIAL YEAR,DISBURSEMENT AMOUNT,,,,,,,,,,,,
,,TERM LOAN,MCF,MSY,ELS,LVY,AMY,Udyam Nidhi,Utkarsh,Suvidha,MFS,Total,,
,2024-2025,0,42.65,63.24,11.71,22.12,0,50,27.69,394.37,0,611.78,,
,2025-2026,385.73,0.81,13.12,13.92,10.6,20,126.03,1.64,66.51,136.9,775.26,,
,2026-2027 (as on 31.07.26),46.97,0,0,1.74,0,0,10.89,0,0,17.73,77.33,,
,TOTAL :,385.73,43.46,76.36,25.630000000000003,32.72,20,176.03,29.330000000000002,460.88,136.9,1387.04,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,FINANCIAL YEAR,DISBURSEMENT BENEFICIARIES,,,,,,,,,,,,
,,TERM LOAN,MCF,MSY,ELS,LVY,AMY,Udyam Nidhi,Utkarsh,Suvidha,MFS,Total,,
,2024-2025,0,5641,9770,411,1005,0,5556,172,19195,0,41750,,
,2025-2026 ,18826,81,1447,217,459,4623,14130,61,1114,18044,59002,,
,2026-2027 (as on 31.07.26),1333,0,0,15,0,0,253,0,0,2068,3669,,
,TOTAL :,18826,5722,11217,628,1464,4623,19686,233,20309,18044,100752,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,NSFDC : SCHEME-WISE / YEAR-WISE DISBURSEMENT STATUS FROM 2017-2018 TO 2023-24,,,,,,,,,,,,,
,,,,,,,,,(Rs. in crore),,,,,
,FINANCIAL YEAR,DISBURSEMENT AMOUNT,,,,,,DISBURSEMENT BENEFICIARIES,,,,,,
,,TERM LOAN,MCF,MSY,ELS,LVY,Total ,TERM LOAN,MCF,MSY,ELS,LVY,Total ,
,2017-2018,138.01430000000005,187.46,65.14,4.74,205.53,600.8843,4053,42027,50057,266,11937,108340,
,2018-2019,148.8526999999999,40.61,32.74,6.27,442.74,671.2126999999999,4633,9266,30694,181,36657,81431,
,2019-2020,177.50390000000004,27.51,46.52,11.59,418.38,681.5039,5176,5451,29360,583,43400,83970,
,2020-2021 ,60.88,14.09,62.26,5.63,405.37,548.23,2564,4245,54785,284,32124,94002,
,2021-2022 ,82.21,14.7,62.15,5.2,407.75,572.01,3033,2634,34968,170,35414,76219,
,2022-2023 ,174.23,34.54,50.47,5.82,370.89,635.95,16763,8186,34630,139,24270,83988,
,2023-2024,392.24,14.72,36.84,9.42,261.23,714.45,45112,2227,23185,128,14720,85372,
,,,,,,,,,,,,,,
,TOTAL :,1173.9309,333.63,356.12,48.67,2511.89,4424.2409,81334,74036,257679,1751,198522,613322,
