,,,,,,,,,,,,,
,,NSFDC : SECTOR-WISE STATUS ,,,,,,,,,,,
,,,,,,,,,,,,,
, ,DISBURSEMENT  ,,(Rs. in crore),,,,,,,,,
,,Financial Year,Total,"Transport, Services & Others",ELS,Agriculture,,,,,,,
,,2026-2027 (as on 31.07.2026),77.33,75.59,1.74,0,,,,,,,
,,Percentage (%), ,97.74990301306092,2.301891784627596,0,,,,,,,
,,,,,, ,,,,,,,
,,BENEFICIARIES ON DISBURSEMENT,,, ,,,,,,,,
,,Financial Year,Total,"Transport, Services & Others",ELS,Agriculture,,,,,,,
,,2026-2027 (as on 31.07.2026),3669,3654,15,0,,,,,,,
,,Percentage (%), ,99.59116925592805,0.4088307440719542,0,,,,,,,
,,,,,,,,,,,,,
,, , ,,, ,,,,,,,
, ,DISBURSEMENT  ,,(Rs. in crore),,,,,,,,,
,,Financial Year,Total,"Transport, Services & Others",ELS,Agriculture,,,,,,,
,,2025-2026  ,775.26,761.34,13.92,0,, ,,,,,
,,Percentage (%), ,98.20447333797694,1.8283552683426587,0,,,,,,,
,,,,,, ,,,,,,,
,,BENEFICIARIES ON DISBURSEMENT,,, ,,,,,,,,
,,Financial Year,Total,"Transport, Services & Others",ELS,Agriculture,,,,,,,
,,2025-2026  ,59002,58785,217,0,,,,,,,
,,Percentage (%), ,99.63221585708959,0.3677841429104098,0,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Details of loan Disbursement across different sectors during the last five years,,,,,,,,,,,,,
,,,,,(Rs. In crore),,,,,,,,
Srno.,Sector,2021-22,2022-23,2023-24,2024-25,2025-26,,, ,,,,
1,Service,559.43,609.8399999999999,704.61,600.07,508.55,,,,,,,
2,Transport,6.48,10.7,0.3,0,5.81,,,,,,,
3,Agriculture,0.9,9.58,0.12,0,214.58,,,,,,, 
4,Education,5.196700000000001,5.8251,9.4175,11.708,13.9223,,,,,,,
5,Industry,0,0,0,0,32.4,,,,,,,
 ,TOTAL :,572.0066999999999,635.9451,714.4475,611.778,775.2623,,,,,,,
