DISBURSEMENT : ALLOCATION Vs ACTUALS AND NO. OF BENEFICIARIES,,,,,,,,,,,,,,,,,,,,,
 ,,,(RS. IN LAKH),,,,,,,,,,,,,,,,,,
Sno.,State,2022-2023 (as on 31.03.2023),,,2023-2024 (as on 31.03.2024),,,2024-2025 (as on 31.03.2025),,,2025-2026 (as on 31.03.2026),,,2026-2027(as on 31.07.2026),,,,,,,
,,Allocation,Actuals,No.of Benef.,Allocation,Actuals,No.of Benef.,Allocation,Actuals,No.of Benef.,Allocation,Actuals,No.of Benef.,Allocation,Actuals,No.of Benef.,,,,,
1,Andaman & Nikobar,0,0,0,0,0,0,0,12.4,2,0,0,0,0,0,0,,,,,
2,Andhra Pradesh,3755.44,1518.5,2997,3129.54,7301.04,11571,4172.71,7372.37,8229,3442.49,7516.18,10141,3922.35,343.93,220,,,,,
3,Arunachal Pradesh,0,0,0,0,0,0,0,8.29,3,0,0,0,0,2.5,2,,,,,
4,Assam,1325.48,16.79,20,1104.57,363.51,952,1472.76,848.12,164,1215.02,547.83,300,1384.39,313.51,99,,,,,
5,Bihar,7367.04,1495.78,5018,6139.2,1111.46,2652,8185.6,1034.38,211,6753.12,2066,4324,7694.47,430.82,110,,,,,
6,Chandigarh,88.54,29.25,75,73.78,19.83,11,98.36,24.33,7,81.15,54.98,111,92.46,0.84,0,,,,,
7,Chhattisgarh,1455.98,311.71,325,1213.32,406.87,265,1617.75,958.35,305,1334.65,724.11,2003,1520.69,455.33,413,,,,,
8,"Dadra N.Haweli,D&Diu",5.47,0.21,1,4.56,0,0,6.08,0,0,5.02,0,0,5.72,0,0,,,,,
9,Delhi,1250.56,440.6,334,1042.14,39.7,14,1389.51,211.2,77,1146.34,92.4,152,1306.14,0,0,,,,,
10,Goa,11.32,1.7,2,9.43,6.97,1,12.57,11.97,3,10.37,13.71,2,11.82,0,0,,,,,
11,Gujarat,1811.82,502.59,347,1509.83,38.43,81,2013.11,599.35,394,1660.81,914.46,305,1892.32,0,0,,,,,
12,Haryana,2273.89,904.86,1441,1894.91,1433.49,1486,2526.54,548.94,478,2084.4,4119.05,4188,2374.95,1.8,0,,,,,
13,Himachal Pradesh,768.95,373.11,726,640.8,596.78,453,854.39,2404.08,1136,704.87,3259.26,832,803.13,2.68,0,,,,,
14,Jammu & Kashmir,411.32,15.51,11,342.76,1026.41,321,457.02,223.35,42,377.04,41.45,21,429.6,0,0,,,,,
15,Jharkhand,1772.32,679.65,1945,1476.92,90.88,111,1969.23,320.08,88,1624.62,573.23,687,1851.08,0,0,,,,,
