DISBURSEMENT : NOTIONAL ALLOCATION Vs ACTUALS FOR 2022-23 to 2026-27,,,,,,,,,,,,,,,,,,,
,,(RS. IN LAKH),,,,,,,,,,,,,,,,,
Srno.,State,2022-2023 (as on 31.03.23),,,2023-2024 (as on 31.03.24),,,2024-2025 (as on 31.03.25),,,2025-2026 (as on 31.03.26),,,2026-2027 (as on 31.07.26),,,,,
,,ALLOCATION,ACTUALS,%AGE,ALLOCATION,ACTUALS,%AGE,ALLOCATION,ACTUALS,%AGE,ALLOCATION,ACTUALS,%AGE,ALLOCATION,ACTUALS,%AGE,,,
1,Andaman & Nicobar,0,0,0,0,0,0,0,12.4,0,0,0,0,0,0,0,,,
2,Andhra Pradesh,3755.44,1518.5,40.43467609654262,3129.54,7301.04,233.29434996836596,4172.71,7372.37,176.68062242523445,3442.49,7516.18,218.3355652449245,3922.35,343.93,8.768467882774358,,,
3,Arunachal Pradesh,0,0,0,0,0,0,0,8.29,0,0,0,0,0,2.5,0,,,
4,Assam,1325.48,16.79,1.266710927362163,1104.57,363.51,32.909639045058256,1472.76,848.12,57.587115348054,1215.02,547.83,45.08814669717371,1384.39,313.51,22.646075166679907,,,
5,Bihar,7367.04,1495.78,20.303676917730865,6139.2,1111.46,18.104313265572063,8185.6,1034.38,12.636581313526193,6753.12,2066,30.5932665197716,7694.47,430.82,5.599086096898161,,,
6,Chandigarh,88.54,29.25,33.03591597018297,73.78,19.83,26.877202493900782,98.36,24.33,24.735664904432696,81.15,54.98,67.75107825015402,92.46,0.84,0.9085009733939001,,,
7,Chhattisgarh,1455.98,311.71,21.40894792510886,1213.32,406.87,33.5336102594534,1617.75,958.35,59.239684747334266,1334.65,724.11,54.254673509908955,1520.69,455.33,29.94232881126331,,,
8,"Dadra N.Haweli,D&Diu",5.47,0.21,3.8391224862888484,4.56,0,0,6.08,0,0,5.02,0,0,5.72,0,0,,,
9,Delhi,1250.56,440.6,35.232215967246674,1042.14,39.7,3.8094689772967163,1389.51,211.2,15.19960273765572,1146.34,92.4,8.060435821832964,1306.14,0,0,,,
10,Goa,11.32,1.7,15.017667844522967,9.43,6.97,73.91304347826086,12.57,11.97,95.22673031026252,10.37,13.71,132.2082931533269,11.82,0,0,,,
11,Gujarat,1811.82,502.59,27.73951054740537,1509.83,38.43,2.5453196717511246,2013.11,599.35,29.772342296248095,1660.81,914.46,55.06108465146525,1892.32,0,0,,,
12,Haryana,2273.89,904.86,39.79348165478541,1894.91,1433.49,75.64950314262946,2526.54,548.94,21.726946733477405,2084.4,4119.05,197.6132220303205,2374.95,1.8,0.07579106928566919,,,
13,Himachal Pradesh,768.95,373.11,48.52201053384485,640.8,596.78,93.13046192259675,854.39,2404.08,281.3796977960884,704.87,3259.26,462.3916466866231,803.13,2.68,0.3336944205794828,,,
14,Jammu & Kashmir,411.32,15.51,3.7707867353885054,342.76,1026.41,299.4544287548139,457.02,223.35,48.87094656688985,377.04,41.45,10.993528538086144,429.6,0,0,,,
15,Jharkhand,1772.32,679.65,38.348040985826486,1476.92,90.88,6.153346152804485,1969.23,320.08,16.25406884924564,1624.62,573.23,35.28394332213072,1851.08,0,0,,,
16,Karnataka,4657.95,7346.54,157.72045642396333,3881.62,2785.9,71.77157990735827,5175.5,3626.36,70.06781953434451,4269.78,2799.45,65.56426794823153,4864.97,0,0,,,
17,Kerala,1351.63,5711.49,422.5631274831129,1126.34,6525.82,579.3827796224941,1501.8,7654.95,509.71833799440674,1238.98,12113.82,977.7252255887907,1411.69,4183.57,296.3518902875277,,,
18,Ladakh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
19,Lakshdweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
20,Madhya Pradesh,5043.62,56.53,1.120821949314183,4203.02,598.62,14.242616023716279,5604.03,1508.1,26.910990840520128,4623.32,2023.44,43.765951740307834,5267.79,0,0,,,
21,Maharashtra,5903.44,7499.35,127.03356009377585,4919.53,1698.39,34.52341992019563,6559.37,3095.91,47.198282761911585,5411.48,1174.51,21.70404399535802,6165.81,14.49,0.23500561969960151,,,
22,Manipur,57.62,51.59,89.53488372093025,48.03,2.03,4.226525088486363,64.06,211.43,330.04995316890415,52.85,36.29,68.66603595080416,60.2,0,0,,,
23,Meghalaya,10.25,1.82,17.75609756097561,8.58,1.01,11.771561771561771,11.46,15.17,132.37347294938917,9.46,5.46,57.71670190274841,10.77,0,0,,,
24,Mizoram,0.71,0,0,0.6,0,0,0.8,90.22,11277.5,0.67,0,0,0.76,0,0,,,
25,Nagaland,0,7.4,0,0,0,0,0,243.71,0,0,0,0,0,2.08,0,,,
26,Odisha,3196.52,404.47,12.653448124835759,2663.76,389.78,14.632699642610444,3551.68,1084.37,30.531185241913683,2930.14,735.44,25.099142020517796,3338.58,0.48,0.014377370019589168,,,
27,Puducherry,87.31,2052.78,2351.1396174550455,72.75,2670.45,3670.721649484536,97,1936.77,1996.6701030927834,80.03,1107.31,1383.6186430088717,91.18,4.5,4.935292827374424,,,
28,Punjab,3939.88,4637.63,117.70993025168279,3283.24,10711.77,326.25607631485974,4377.65,10014.76,228.77023060317754,3611.56,7105.53,196.74406627606908,4114.99,48.6,1.1810478275767378,,,
29,Rajasthan,5434.61,5690.82,104.71441372978005,4528.85,2586.1,57.10279651567174,6038.46,1402.16,23.22048999248153,4981.73,2618.23,52.5566419697575,5676.15,0,0,,,
30,Sikkim,16.8,6.52,38.8095238095238,14,11.52,82.28571428571428,18.66,186.52,999.5712754555198,15.4,41.82,271.55844155844153,406.33,0,0,,,
31,Tamil Nadu,6420.4,7174.94,111.75222727555916,5350.32,14902.9,278.54221803555674,7133.76,6047.88,84.77829363477325,5885.36,11171.26,189.81438688542417,6705.74,1316.46,19.631837798662044,,,
32,Telangana,2415.78,5533.41,229.0527283113528,2013.14,2506.2,124.49208698848564,2684.19,570.37,21.24924092556786,2214.45,5312.93,239.92097360518417,2523.13,101.89,4.038238219988665,,,
33,Tripura,389.04,1795.85,461.6106312975529,324.2,878.77,271.05798889574334,432.27,675.7,156.3143405741782,356.62,491.66,137.86663675621108,17.54,413.81,2359.236031927024,,,
34,Uttar Pradesh,18390.62,5263.28,28.619372266949128,15325.52,9955.83,64.96242868104964,20434.02,4497.52,22.009961818575103,16858.06,7716.14,45.77122159963839,19207.98,0,0,,,
35,Uttarakhand,841.55,14.91,1.7717307349533602,701.29,329.46,46.97913844486589,935.06,901.61,96.42268945308324,771.42,656.83,85.14557569158177,878.95,0,0,,,
36,West Bengal,9544.14,4055.08,42.48764163140943,7953.45,2455.44,30.87264017501839,10604.6,2837.59,26.75810497331347,8748.79,2493.36,28.4994839286347,9968.32,95.65,0.9595398221565922,,,
,,,,,,,,,, ,,, ,,, ,,,
,Total :,90000,63594.670000000006,70.66074444444445,74999.99999999997,71445.36,95.26048000000003,100000.00000000001,61178.31,61.17830999999999,82500,77526.14,93.9710787878788,93999.99999999997,7732.94,8.226531914893618,,,
,,,,,,,,,,,,,,,,,,,
"DISBURSEMENT : NOTIONAL ALLOCATION Vs ACTUALS FOR 2017-18, 2018-19, 2019-20 ,2020-21 &  2021-22  AS ON 31.03.2022",,,,,,,,,,,,,,,,,,, 
 ,,,,,,,,,,,,,,,,,,,
,,(RS. IN LAKH),,,,,,,,,,,,,,,,,
Srno.,State,2017-2018 (as on 31.03.18),,,2018-2019 (as on 31.03.2019),,,2019-2020 (as on 31.03.2020),,,2020-2021 (as on 31.03.2021),,,2021-2022 (as on 31.03.2022),,,,,
,,ALLOCATION,ACTUALS,%AGE,ALLOCATION,ACTUALS,%AGE,ALLOCATION,ACTUALS,%AGE,ALLOCATION,ACTUALS,%AGE,ALLOCATION,ACTUALS,%AGE,,,
1,Andaman & Nikobar,0,1.55,0,0,0,0,0,0,0,0,0,0,0,0.82,0,,,
2,Andhra Pradesh,2920.89,3510.69,120.19247558107288,2920.89,21085.4,721.8827138303736,3129.54,12908.25,412.46477118042907,8472,137.56,1.6237016052880076,3547,2278.59,64.23992106005075,,,
3,Arunachal Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,0,1.84,0,,,
